Date	Product	SalesRep	Sales
22/02/2020	Quad	Chauntel	1795.01
06/02/2020	Carlota	Tyrone	78.81
18/02/2020	Bellen	Chauntel	2264.72
08/01/2020	Quad	Gigi	146.28
23/01/2020	Sunshine	Pham	1373.96
15/01/2020	Sunshine	Sioux	357.17
18/02/2020	Carlota	Tyrone	229.06
18/01/2020	Carlota	Chauntel	747.34
29/01/2020	Bellen	Gigi	2363.2
23/02/2020	Carlota	Chauntel	1598.23
25/01/2020	Bellen	Sioux	330.27
16/02/2020	Quad	Tyrone	1758.34
30/01/2020	Sunshine	Chauntel	1603.92
22/01/2020	Sunshine	Gigi	372.35
02/02/2020	Quad	Pham	348.87
25/01/2020	Quad	Sioux	2169.12
15/02/2020	Carlota	Tyrone	57.5
31/01/2020	Carlota	Chauntel	1762.01
06/01/2020	Quad	Chauntel	289.61
19/01/2020	Carlota	Tyrone	1252.39
21/02/2020	Bellen	Chauntel	2156.69
25/01/2020	Quad	Gigi	221.58
28/02/2020	Sunshine	Pham	83.72
22/02/2020	Sunshine	Sioux	1261.13
19/02/2020	Carlota	Tyrone	136.11
30/01/2020	Carlota	Chauntel	242.12
03/02/2020	Bellen	Gigi	110.12
11/02/2020	Carlota	Chauntel	109.17
18/02/2020	Bellen	Sioux	432.37
05/02/2020	Quad	Tyrone	622.97
21/01/2020	Sunshine	Chauntel	191.11
31/01/2020	Sunshine	Gigi	1883.49
03/02/2020	Quad	Pham	1558.09
10/01/2020	Quad	Sioux	358.61
15/01/2020	Carlota	Tyrone	1600.08
25/01/2020	Carlota	Chauntel	1617.58
21/02/2020	Quad	Tyrone	2157.47
01/01/2020	Sunshine	Chauntel	1073.54
20/02/2020	Sunshine	Gigi	362.79
16/01/2020	Carlota	Pham	2384.6
11/02/2020	Carlota	Sioux	311.24
28/02/2020	Bellen	Tyrone	414.21
09/02/2020	Carlota	Chauntel	162.63
05/02/2020	Quad	Gigi	2221.68
18/02/2020	Quad	Pham	2214.03
04/02/2020	Carlota	Sioux	2000.77
08/02/2020	Carlota	Tyrone	1661.06
02/02/2020	Quad	Chauntel	89.04
16/01/2020	Sunshine	Tyrone	73.09
29/01/2020	Sunshine	Chauntel	247.41
29/01/2020	Carlota	Tyrone	1224.07
29/01/2020	Bellen	Gigi	1948.09
08/01/2020	Bellen	Tyrone	348.43
